weekday,sensor,reading,activity,sensor-1,reading-1,sensor-2,reading-2
3,25,1,19,20,0,20,1
3,25,0,12,25,1,20,0
3,20,1,4,25,0,25,1
3,20,0,17,20,1,25,0
3,3,1,16,20,0,20,1
3,3,0,21,3,1,20,0
3,3,1,16,3,0,3,1
3,3,0,21,3,1,3,0
3,18,1,10,3,0,3,1
3,18,0,3,18,1,3,0
3,2,1,20,18,0,18,1
3,2,0,1,2,1,18,0
3,3,1,16,2,0,2,1
3,3,0,21,3,1,2,0
3,3,1,16,3,0,3,1
3,3,0,21,3,1,3,0
3,8,1,9,3,0,3,1
3,8,0,5,8,1,3,0
3,8,1,9,8,0,8,1
3,8,0,5,8,1,8,0
3,3,1,13,8,0,8,1
3,3,0,2,3,1,8,0
3,2,1,20,3,0,3,1
3,2,0,1,2,1,3,0
3,27,3,6,2,0,2,1
3,27,2,8,27,3,2,0
3,27,3,14,27,2,27,3
3,27,2,22,27,3,27,2
3,27,3,6,27,2,27,3
3,27,2,8,27,3,27,2
3,27,3,14,27,2,27,3
3,27,2,22,27,3,27,2
3,18,1,10,27,2,27,3
3,18,0,3,18,1,27,2
3,3,1,16,18,0,18,1
3,11,0,21,3,1,18,0
3,8,1,9,11,0,3,1
3,8,0,5,8,1,11,0
3,15,1,15,8,0,8,1
3,15,0,18,15,1,8,0
3,18,1,10,15,0,15,1
3,18,0,3,18,1,15,0
3,3,1,16,18,0,18,1
3,3,0,21,3,1,18,0
3,3,1,16,3,0,3,1
3,3,0,21,3,1,3,0
3,3,1,16,3,0,3,1
3,3,0,21,3,1,3,0
3,5,1,10,3,0,3,1
3,5,0,3,5,1,3,0
3,3,1,16,5,0,5,1
3,3,0,21,3,1,5,0
3,5,1,10,3,0,3,1
3,5,0,3,5,1,3,0
3,8,1,9,5,0,5,1
3,8,0,5,8,1,5,0
3,9,1,13,8,0,8,1
3,3,0,2,9,1,8,0
3,15,1,15,3,0,9,1
3,14,0,18,15,1,3,0
4,20,1,4,14,0,15,1
4,20,0,17,20,1,14,0
4,25,1,19,20,0,20,1
4,25,0,12,25,1,20,0
4,20,1,4,25,0,25,1
4,20,0,17,20,1,25,0
4,3,1,16,20,0,20,1
4,3,0,21,3,1,20,0
4,15,1,15,3,0,3,1
4,15,0,18,15,1,3,0
4,15,1,15,15,0,15,1
4,15,0,18,15,1,15,0
4,15,1,15,15,0,15,1
4,15,0,18,15,1,15,0
4,15,1,15,15,0,15,1
4,15,0,18,15,1,15,0
4,15,1,15,15,0,15,1
4,15,0,18,15,1,15,0
